City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
9,Kupang,ID,79.34,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
13,Aitape,PG,77.36,overcast clouds,-3.1374,142.3475,
17,Arraial Do Cabo,BR,76.86,clear sky,-22.9661,-42.0278,Pousada Porto Praia
23,Hobyo,SO,78.37,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
32,Kununurra,AU,78.78,broken clouds,-15.7667,128.7333,Hotel Kununurra
44,Nova Vicosa,BR,76.84,few clouds,-17.8919,-39.3719,Pousada Porto do Sol
45,Atuona,PF,76.53,clear sky,-9.8,-139.0333,Villa Enata
56,Belmonte,BR,77.05,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
67,Luanda,AO,77.0,clear sky,-8.8368,13.2343,EPIC SANA Luanda
76,Lupiro,TZ,75.06,overcast clouds,-8.3833,36.6667,AFRICAN JACCANA EXECUTIVE LODGE
82,Caravelas,BR,77.13,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
98,Kutum,SD,78.48,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
107,Tambun,ID,79.48,overcast clouds,-6.2641,107.0712,Metland Hotel Bekasi
108,Gorontalo,ID,75.18,scattered clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
117,Kimbe,PG,77.23,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
118,Bara,NG,78.55,broken clouds,10.3744,10.7288,
128,Kudahuvadhoo,MV,79.32,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
129,Martapura,ID,75.29,mist,-3.4167,114.85,Montana Hotel Syariah
133,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
135,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Pirineos
160,Itacare,BR,76.66,few clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
167,Vila Velha,BR,78.75,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
178,Puri,IN,77.52,clear sky,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
186,Binga,ZW,77.65,broken clouds,-17.6203,27.3414,Lakeview Inn Binga
199,Dingle,PH,77.99,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
201,Guymon,US,77.67,clear sky,36.6828,-101.4816,Simple Rewards
206,Sao Felix Do Xingu,BR,75.49,light rain,-6.6447,-51.995,Rio Xingu Camping
215,Ambulu,ID,75.24,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
218,Puerto Penasco,MX,75.9,clear sky,31.3167,-113.5333,Playa Bonita Resort
224,Bandarbeyla,SO,77.32,scattered clouds,9.4942,50.8122,JABIR HOTEL
238,Tabou,CI,76.98,overcast clouds,4.423,-7.3528,hotêl doufoulougou
239,Miraflores,MX,76.03,few clouds,19.2167,-98.8083,Hotel Mansión
244,Honiara,SB,78.37,overcast clouds,-9.4333,159.95,Heritage Park Hotel
259,Georgetown,MY,78.24,scattered clouds,5.4112,100.3354,Cititel Penang
277,Vanimo,PG,76.64,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
278,Naze,JP,76.64,broken clouds,28.3667,129.4833,Shishime Hotel
281,Vilhena,BR,77.54,broken clouds,-12.7406,-60.1458,Hotel Mirage
283,Loreto,MX,77.0,few clouds,22.2667,-101.9667,José de Jesús Velásquez mora
286,Warri,NG,75.88,overcast clouds,5.5167,5.75,GT Guesthouse
287,Mogadishu,SO,77.65,broken clouds,2.0371,45.3438,Hotel Juba
289,Salalah,OM,76.28,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
292,Cartagena Del Chaira,CO,78.44,broken clouds,1.3349,-74.8429,HOTEL LA ROCA
304,Porto Novo,BJ,78.58,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
312,Sao Filipe,CV,77.27,scattered clouds,14.8961,-24.4956,Hotel Xaguate
315,Copiapo,CL,77.2,clear sky,-27.3667,-70.3333,Antay Casino Hotel
