City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hobart,AU,-42.8794,147.3294,44.46,81,75,5.75,light rain
1,Rikitea,PF,-23.1203,-134.9692,73.49,81,59,17.4,light rain
2,Puerto Ayora,EC,-0.7393,-90.3518,80.56,86,81,8.99,broken clouds
3,Qaanaaq,GL,77.484,-69.3632,29.41,78,100,34.49,snow
4,Punta Arenas,CL,-53.15,-70.9167,55.51,30,0,19.57,clear sky
5,Hilo,US,19.7297,-155.09,85.28,95,100,4.61,overcast clouds
6,Hermanus,ZA,-34.4187,19.2345,61.81,85,100,15.7,overcast clouds
7,New Norfolk,AU,-42.7826,147.0587,44.1,63,99,2.35,light rain
8,Flinders,AU,-34.5833,150.8552,53.38,79,76,1.99,broken clouds
9,Kupang,ID,-10.1667,123.5833,79.34,82,61,6.49,broken clouds
10,Duldurga,RU,50.6761,113.5931,29.03,63,100,13.71,overcast clouds
11,Ushuaia,AR,-54.8,-68.3,49.66,40,0,26.46,clear sky
12,Port Alfred,ZA,-33.5906,26.891,63.18,96,100,5.99,overcast clouds
13,Aitape,PG,-3.1374,142.3475,77.36,86,94,4.9,overcast clouds
14,Saint-Philippe,RE,-21.3585,55.7679,67.59,81,36,9.53,scattered clouds
15,Albany,US,42.6001,-73.9662,68.95,45,3,5.01,clear sky
16,Severo-Kurilsk,RU,50.6789,156.125,42.58,81,49,14.85,scattered clouds
17,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,69,0,12.66,clear sky
18,Kruisfontein,ZA,-34.0033,24.7314,58.82,87,100,15.41,overcast clouds
19,Bluff,NZ,-46.6,168.3333,56.8,88,99,10.76,overcast clouds
20,Jamestown,US,42.097,-79.2353,55.06,40,75,19.57,broken clouds
21,Sinnamary,GF,5.3833,-52.95,83.34,72,6,11.88,clear sky
22,Port Macquarie,AU,-31.4333,152.9167,54.9,83,38,3.49,scattered clouds
23,Hobyo,SO,5.3505,48.5268,78.37,82,51,16.13,broken clouds
24,Inirida,CO,3.8653,-67.9239,84.25,72,99,2.75,moderate rain
25,Mombaca,BR,-5.7431,-39.6275,95.22,22,2,6.04,clear sky
26,Bengkulu,ID,-3.8004,102.2655,74.53,89,100,3.67,overcast clouds
27,Busselton,AU,-33.65,115.3333,46.38,91,94,5.79,overcast clouds
28,Chulman,RU,56.8479,124.9104,24.19,84,100,13.71,overcast clouds
29,Itacarambi,BR,-15.1022,-44.0919,91.54,20,79,7.23,broken clouds
30,Elat,IL,29.5581,34.9482,80.44,47,0,0.0,clear sky
31,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,80,20,5.75,few clouds
32,Kununurra,AU,-15.7667,128.7333,78.78,73,72,2.3,broken clouds
33,Mataura,NZ,-46.1927,168.8643,56.48,95,100,1.03,overcast clouds
34,Dawei,MM,14.0833,98.2,71.78,88,100,5.39,overcast clouds
35,Vao,NC,-22.6667,167.4833,68.16,61,0,7.25,clear sky
36,Talnakh,RU,69.4865,88.3972,33.21,99,100,8.34,snow
37,Nantucket,US,41.2835,-70.0995,69.94,60,0,4.61,clear sky
38,Shimoda,JP,34.6667,138.95,65.1,85,3,12.44,clear sky
39,Carnarvon,AU,-24.8667,113.6333,64.69,75,0,16.2,clear sky
40,Busayra,JO,30.7376,35.6078,64.11,30,0,2.19,clear sky
41,Iqaluit,CA,63.7506,-68.5145,35.33,93,100,13.8,light rain
42,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,27.19,86,0,6.71,clear sky
43,Esperance,AU,-33.8667,121.9,53.91,89,96,9.89,overcast clouds
44,Nova Vicosa,BR,-17.8919,-39.3719,76.84,71,16,10.16,few clouds
45,Atuona,PF,-9.8,-139.0333,76.53,74,0,13.53,clear sky
46,Petropavlovka,RU,50.6114,105.3196,25.48,73,2,3.98,clear sky
47,Berlevag,NO,70.8578,29.0864,40.8,87,20,4.61,few clouds
48,Longyearbyen,SJ,78.2186,15.6401,22.84,63,0,4.61,clear sky
49,Alihe,CN,50.5667,123.7167,32.63,78,66,8.93,broken clouds
50,Yeppoon,AU,-23.1333,150.7333,67.78,84,0,4.61,clear sky
51,Whitehorse,CA,60.7161,-135.0538,33.82,93,75,15.01,broken clouds
52,Camana,PE,-16.6228,-72.7111,66.4,69,12,7.92,few clouds
53,Yulara,AU,-25.2406,130.9889,65.86,60,5,9.06,clear sky
54,Khatanga,RU,71.9667,102.5,32.7,98,100,16.98,light snow
