City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Yeniseysk,RU,2022-10-13 18:11:19,58.4497,92.1703,273.09,94,91,2.6
1,Adrar,MR,2022-10-13 18:11:20,20.5022,-10.0711,305.69,18,98,4.35
2,Bataipora,BR,2022-10-13 18:11:21,-22.2953,-53.2711,300.35,65,100,1.62
3,Ushuaia,AR,2022-10-13 18:11:22,-54.8,-68.3,280.94,61,75,9.26
4,Calamar,CO,2022-10-13 18:11:23,10.2511,-74.9146,302.77,69,100,2.18
5,Bluff,NZ,2022-10-13 18:11:23,-46.6,168.3333,278.05,88,23,4.32
6,Punta Arenas,CL,2022-10-13 18:10:09,-53.15,-70.9167,282.21,46,40,8.23
7,Ancud,CL,2022-10-13 18:11:24,-41.8697,-73.8203,280.23,75,98,5.11
8,Kabare,CD,2022-10-13 18:11:25,-2.4683,28.8242,291.48,78,75,0.15
9,Gat,IL,2022-10-13 18:11:25,31.61,34.7642,296.53,100,7,2.03
10,Barrow,US,2022-10-13 18:11:26,71.2906,-156.7887,270.16,68,75,4.63
11,Roald,NO,2022-10-13 18:11:27,62.5833,6.1333,285.24,71,75,3.6
12,Yulara,AU,2022-10-13 18:11:27,-25.2406,130.9889,284.81,49,0,4.5
13,Boa Vista,BR,2022-10-13 18:11:13,2.8197,-60.6733,301.14,65,40,5.14
14,Clyde River,CA,2022-10-13 18:11:28,70.4692,-68.5914,271.28,64,75,7.72
15,Mataura,NZ,2022-10-13 18:11:29,-46.1927,168.8643,274.86,99,25,1.6
16,Torquay,GB,2022-10-13 18:11:29,50.4638,-3.5143,287.55,90,99,1.34
17,Fuerte Olimpo,PY,2022-10-13 18:11:30,-21.0415,-57.8738,301.37,60,99,3.0
18,Tuatapere,NZ,2022-10-13 18:11:31,-46.1333,167.6833,275.85,95,17,2.08
19,Tasiilaq,GL,2022-10-13 18:11:31,65.6145,-37.6368,274.24,83,99,2.3
20,Husavik,IS,2022-10-13 18:11:32,66.0449,-17.3389,275.52,94,100,2.5
21,Vaini,TO,2022-10-13 18:11:32,-21.2,-175.2,296.81,81,87,7.59
22,Carnarvon,AU,2022-10-13 18:11:33,-24.8667,113.6333,291.46,60,0,9.19
23,Sitka,US,2022-10-13 18:11:33,57.0531,-135.33,287.48,97,100,8.25
24,Kodiak,US,2022-10-13 18:11:34,57.79,-152.4072,278.88,33,0,0.0
25,Meulaboh,ID,2022-10-13 18:11:34,4.1363,96.1285,297.73,86,77,1.73
26,Qaanaaq,GL,2022-10-13 18:11:35,77.484,-69.3632,265.5,67,100,4.15
27,Pangnirtung,CA,2022-10-13 18:11:35,66.1451,-65.7125,268.15,58,20,1.54
28,Ambulu,ID,2022-10-13 18:11:36,-8.345,113.6058,297.65,87,99,0.91
29,Avarua,CK,2022-10-13 18:11:36,-21.2078,-159.775,297.18,88,75,5.66
30,Kruisfontein,ZA,2022-10-13 18:11:37,-34.0033,24.7314,293.09,94,91,6.06
31,Salym,RU,2022-10-13 18:11:38,60.0625,71.4789,275.88,85,54,2.87
